-log10pvalue	-log10qvalue	rank	basepairs
433.29	426.88	1010	1
433.09	426.68	1011	1
432.42	426.01	1012	7
432.40	425.99	1019	1
432.29	425.88	1020	1
432.07	425.66	1021	2
431.93	425.52	1023	1
431.80	425.39	1024	1
431.52	425.11	1025	1
430.83	424.42	1026	4
430.74	424.34	1030	4
430.58	424.18	1034	1
430.33	423.93	1035	1
430.31	423.91	1036	1
429.74	423.34	1037	1
429.64	423.24	1038	3
429.25	422.85	1041	2
429.13	422.73	1043	2
429.09	422.69	1045	1
428.85	422.45	1046	1
428.61	422.21	1047	2
428.39	421.99	1049	1
428.29	421.89	1050	1
428.20	421.80	1051	1
428.04	421.65	1052	3
428.00	421.61	1055	2
427.89	421.50	1057	3
427.67	421.28	1060	1
427.66	421.27	1061	3
427.61	421.22	1064	3
427.53	421.14	1067	1
427.52	421.13	1068	1
427.16	420.77	1069	1
427.02	420.63	1070	2
426.58	420.19	1072	1
426.40	420.01	1073	4
426.12	419.74	1077	3
426.08	419.70	1080	2
425.43	419.05	1082	2
425.38	419.00	1084	1
425.21	418.83	1085	3
425.15	418.77	1088	2
424.91	418.53	1090	4
424.64	418.26	1094	5
424.49	418.11	1099	2
424.40	418.02	1101	1
424.21	417.84	1102	2
424.05	417.68	1104	2
423.84	417.47	1106	5
423.73	417.36	1111	1
423.71	417.34	1112	3
423.42	417.05	1115	2
423.27	416.90	1117	1
423.16	416.79	1118	1
422.93	416.56	1119	2
422.91	416.54	1121	2
422.89	416.52	1123	1
422.83	416.46	1124	1
422.74	416.37	1125	3
422.58	416.22	1128	2
422.31	415.95	1130	1
422.25	415.89	1131	2
422.22	415.86	1133	2
421.93	415.57	1135	4
421.86	415.50	1139	1
421.46	415.10	1140	4
421.33	414.97	1144	9
421.27	414.91	1153	2
421.12	414.77	1155	4
420.89	414.54	1159	1
420.73	414.38	1160	1
420.66	414.31	1161	4
420.44	414.09	1165	1
419.98	413.63	1166	5
419.85	413.50	1171	1
419.80	413.45	1172	2
419.75	413.40	1174	10
419.70	413.36	1184	1
419.65	413.31	1185	1
419.59	413.25	1186	1
419.54	413.20	1187	1
419.23	412.89	1188	1
419.07	412.73	1189	4
419.03	412.69	1193	1
418.92	412.58	1194	1
418.63	412.29	1195	1
418.51	412.17	1196	3
418.18	411.84	1199	5
418.14	411.80	1204	2
418.08	411.74	1206	1
418.04	411.70	1207	1
417.49	411.16	1208	1
417.14	410.81	1209	1
416.90	410.57	1210	1
416.87	410.54	1211	1
416.60	410.27	1212	4
416.28	409.95	1216	1
415.78	409.45	1217	1
415.60	409.27	1218	2
415.21	408.88	1220	1
415.05	408.72	1221	1
415.02	408.69	1222	4
414.21	407.88	1226	1
414.15	407.82	1227	4
414.00	407.67	1231	1
413.79	407.46	1232	1
413.47	407.14	1233	5
413.45	407.13	1238	7
412.81	406.49	1245	1
412.66	406.34	1246	2
412.65	406.33	1248	4
412.40	406.08	1252	2
412.39	406.07	1254	1
412.38	406.06	1255	4
411.91	405.59	1259	3
411.88	405.56	1262	4
411.36	405.05	1266	16
411.17	404.86	1282	2
411.08	404.77	1284	7
410.96	404.65	1291	1
410.80	404.49	1292	6
410.35	404.05	1298	6
